,content
303,Gak jelas bgt deh aplikasinya...ngundang udh 10 org lebih gak ful2 giliran mau full eror...owalah...PHP aja ni tomorrow coffe😡😩
304,scam kopi gratisnya :(
305,Gokil nih buy 1 get 1 free di Kuningan city mall.
306,Kopi nya enak..strong banget
307,Jgn lupa mampir guys di tomoro cofee lt2 gedung mth 27 Adhi karya. Tempat nongkrong asik ya di tomoro coffe.pokoknya maksyus sukses selalu buat Tomoro coffe
308,percuma adain event tapi menunya dihilangin😂
309,Enak sih kopinya
310,Pelayan nya tolol sih menurut gue
311,"Apaan parameter error. Si paling promo tp ga bsa dpake, tiap di klik selalu parameter error! Uninstall aja guys yg udh pake app ini."
312,hoax gratis kopi
313,Penipu
314,Sangat Buruk
315,Tdk ada kantong plastik hadehh
316,Eventny ampaass gk niat bikin promo
317,Kesan pertama di buat beli nya ga bakalan lagi datang dan beli sumpah sumpahhh kaliiiiiiii kampretttt sorry min gedek rasanya sama pelayanan yang di cabang palang merah 🔥🔥🔥🔥
318,Php untuk mendapatkan cofee gratis
319,Voucher Tidak Berfungsi
320,Gratis nya bo'ong
321,Oh.
322,Good
323,"Rasa kopi yg strong , pas untuk menemani waktu bekerja."
324,"Tempat nya nyaman ,cofee nya enak langganan kalau minum Disni caramel maciato nya enak ,packingin nya bagus pake paper bag,cup nya jga bgs anti tumpah tumpah..best"
325,"Ga tau kesel aja gtu, maps ke alamat rmh ny ga pas jd nya harus ke outlet ambil sendiri. Udh gtu ga ada pusat bantuan buat hal"" kecil ke gini. Fix ga akan order di sini lagi sih."
326,Banyak promo untuk kopinyaa
327,"order lewat apk,udah 2 jam lebih blm dikirim"". infonya dari grabexpress nya blm diambil"" tpi ga ada kelanjutannya lagi 👎🏻👎🏻"
328,"Baru mau coba, penasaran sama kopi kintamani nyaa kayaknya mantap jiwa"
329,Pelayanan bokbrok nunggu lama
330,lumayan
331,Aplikasinya ga bisa login
332,Karyawan judes
333,Rasa ok
334,"Kopinya mantap dan Enak, wajib cobaaa 😍"
335,Suasana bagus casir barista sangat ramah mantap pokoknya tempat nongkrong yang familiar buat aku pribadi
336,"Ada bug, saya sudah bayar tapi statusnya masih menunggu pembayaran"
337,Mendukungg sekalii
338,susah amat dapetin gratis kopi
339,mantap juga sih promonya
340,Enak banget sih kopinya
341,Enak bnget kopinya
342,Nice
343,Mantap
344,Promo 9000 ga bner ini. Saat pakai aplikasi. Parameter error' terus. Cuma pancingan aja promo itu
345,Sangat worth it
346,Gratis kopinya PHP. Udah ngumuplin 5 kontak supaya dapat free malah yang terakhir tidak bisa masuk. Padahal udah nunggu 12 jam lebih alhasil limite time nya habis (1x24 jam). Tanya ke petugas ga ngerti.
347,"Tolong tambahkan fitur cancel dong, kalau salah pesan atau salah pilih lokasi masih bisa di cancel"
348,Terbaik
349,"Promonya bohong, cuma buat naikin pendownload apknya. Belum lagi rasa kopinya B aja. Cuma menang packingan doang."
350,Tidak bisa digunakan di android. Dua hp android dengan tipe berbeda tidak bis adigunakan aplikasinya. Tidak ada gambar yang muncul dan tidak login
351,Good service
352,"Promo kopi gratis, sebenarnya tdk bisa gratis , potongan harga dari 5rb mengecil sampe 4 perak ,wkwk byuh"
353,Ini ga bisa poinbanyak
354,Penipu kelen Katanya nol rupiah Udah dikerjakan misinya Awalnya sampe 1000 potongannya Setelah masukkan teman kok Potongan cuman 6 aja Kotor kali otak kelen
355,"Aplikasi nipu dan gak jelas , katanya untuk dapat kopi suruh undang teman tapi gak dapat"""
356,aplikasi penipu ...gk jelas...
357,"Freee kopi nipu scam bagi"" Link biar donlot huhuhu"
358,Promo sedikit
359,Order tanpa keder...👍
360,Mantap
361,Good enak kopiya fresh pas buat teman menikmati seharian bekerja.
362,Gw dpt udh beli yg Januari pack gak d kasih coffe nya malah di suruh bayar lagi hati² guys sama tomoro cofee ruko Daan Mogot apalagi karyawan yg namanya Zidan cape² jalan hasil nye nihil voucher nya lgsg d selesaiin sama karyawan nya wkwkw Gw uninstall lagi
363,MANTUL
364,"Pelayanannya baik, tempatnya nyaman dan beneran promonyaaaa 🤩 caranya mudah tinggal download aplikasinya aja. Terimakasih Tomoroooo sukses selalu♡"
365,"Udah hampir 10 member ttp g dpt kopi gratis malah makin lama potongan cuma 2 rupiah , gak niat deh"
366,"Tempat nyaman dan pelayanannya ramah, cocok buat kumpul ngobrol dl"
367,Td gua di paksa buat download apk kopi ini wkwkwkwk
368,"Dari siang sampe mau ke sore, tidak berubah posisi saldo gratisnya, padahal sdh di share ke mana"" dan sdh di donlot aplikasi ini....yeèeeeee"
369,"Menjanjikan gratis udah nyuruh2 temen buat instal juga akhir nya ga ada gratisan, mending jangan bilang gratis. Udah ngabisin waktu ga dapet kopi nya yaudah sebagai kekecewaan bintang 1"
370,Udah set cabang malah dipindahin jadi makin jauh
371,Aplikasi bagus Tpi pelayan d lokasi krang bagus. Nunggu lama. Dan gak ada prioritas pembuatan Gw nunggu beberapa x smpe 20 menit. Pd beli pickup. Payah deh
372,Gak nyesel beli disini
373,Mahal ongkirnya
374,Mantap promo nya banyak
375,"Aplikasi Pembodohan Publik, admin Google play bertindak donk"
376,"Promosi kopi gratis yang tidak terlalu bagus, kurang menarik dan caranya juga tidak elegan. Sungguh disayangkan, padahal kopinya enak."
377,Pas udah mesen kaget kok titik pick upnya ke tempat lain dan ternyata gak bisa dibalikin ke tempat yg diinginkan yaudahlah.
378,Jangan ada promo kopi kopi gratis deh kalau memang nggak mau ngasih kopi gratis. Hadeh parah banget. Masa potongannya makin lama makin kecil. Udah di share ke teman-teman suruh jadi membernya tetap aja nggak bisa sampai 0 rupiah itu.
379,Kok saya gak ketemu kode reff saya ? Dimana disembunyikannya ?
380,Tolong add fitur Notes buat baristanya Sama penjadwalan Pickupnya Kalo udah ada Berubah jadi bintang 5
381,Oke
382,Tiap mau pake promo trus mau lakuin pembayaran malah ilang promonya. gimana sihh
383,ga bisa masuk
384,Gua udah sampe satu kopi cuman 500 rupiah. Ehh kaga. Bisa di ambil. Kocakkkkkkk. Ribet banget
385,kopi gratis?
386,Oke banget tempat nongkrong nya
387,Coffe nya nikmat .. pelayanan nya sangat memuas kan
388,"Banyak Promo nya, Kopi nya Enak, Tempatnya nyaman, waiter ramah ramah"
389,Mantap dah ah
390,"Mantullll , luar biasa"
391,Mantap.
392,"Banyak Promo Menarik, Dari gd promo Pakek apps ny jadi ada promo dong, pegawainya jg ramah"""
393,"Yang paling saya suka kopinya. Enak. Beda dari tempat lain. Ruangan nyaman, Bersih, Adem. Desain estetik, simple, enak di pandang. Pencahayaan jg bagus. Saran : Kalau bisa Roti atau Cemilan selalu ready. Krn ngopi tanpa nyemil kayak ada yg kurang."
394,"Penawaran promo dibatalkan secara sepihak, ribet"
395,Biasa aja knp ya setiap outlet rasa nya ko berbeda tolong perbaiki barista nya
396,Good
397,tempat nya cozy nyaman dan enak
398,Scam kopi gratis
399,"JELEK BANGET, DELIVERY HAMPIR SEJAM. BURUK. CHECK DM SAYA UDAH KOMPLAIN. KARYAWAN TIDAK MAU DISALAHKAN. OUTLET LIPPO CIKARANG."
400,Good Coffee
401,"Aplikasi yang memudahkan dalam pemesanan dan untuk range harga cukup terjangkau, serta perbanyak diskon yaa.."
402,Coffee terbaik.
403,aplikasi ribet
404,"Males ah sama program yg bagi bagi kopi gratis. Udah kayak ditipu, semakin lama semakin sedikit potongannya jadi kita ga dpet2 itu kopi gratis.hmm jngan ada yg bagi2 link bantu teman lagi yaa.."
405,Baynayk promo lagi donk
406,Good
407,"Thanks min kopinya. udah Enak banget, gratis lagi.. Buat kalian yg mau kopi gratis jangan lupa input kode refferal nya ""04807F"" ."
408,"Halah ampas, mending maen hago"
409,Aplikasi error selalu! Mau delivery order selalu ga bisa!!!!
410,Aplikasi pembodohan
411,"Aplikasinya bagus, UI simpel dan gampang dipakai"
412,"Bagi-bagi kopi gratis? makin banyak share, makin dikit dpt point. cuma dibikin jadi sales gratisan aja. ga tau sampe kapan itu jadi 0 harga di promonya. kek dimainin aja"
413,"Sudah bayar via shopee pay, namun di app masih belum terupdate sudah dibayar, sampai dua kali saya transaksi, dan akhirnya transaksi dibatal oleh app karena waktu, namun di pp shopee transaksi sudah terbayar, uang melayang kopi tak didapat, rampok"
414,"Parah, ga bisa login. Kurang ok aplikasi"
415,Kopinya enak bnget..dan lebih senengnya outlate nya deket dr rumah
416,Suka banget
417,Gmna ini ya promonya bnyak yg gbisa dgunakan
418,ga enak minumannya..bikin secangkir kopi 1/2 jam
419,Nggk ush di download sumpah free cofenya turun 1 rupiah doang
420,Pelayanannya bagus
421,"mau bayar pick up aja lemot bngt, gila yah ! uninstal aja deh"
422,Event Kopi Gratis nya Scam
423,saya download aplikasi ini karena teman saya nabila mau dapet kopi gratis. semangat nabila ~tamami
424,"Berulang kali pesen kopi di South 1 Quarter, malah diarahin ke Metropolitan Tower. Fix perbaiki GPSnya deh. Atau tambahkan flow UX konfirmasi jemput dari mana gitu."
425,"promo tipu-tipu minuman Rp.0 pas tinggal Rp500, ngajak teman selanjutnya cuma dipotong Rp32.. mudah-mudah resto ini cepat bangkrut karena marketing kotor"
426,"Buat yang sudah install ga usah ikut promo kopi gratis karena promonya abal2, ga bakal terpotong sampe 0. Pembohongan publik."
427,Banyak promo menarik
428,"Tempatnya nyaman dan bersih, kakaknya juga ramah"" 🤗"
429,Pelayanan dan fasilitas semuanya enakk
430,"minumannya enak,tempatnya juga nyaman untuk kerja dan meeting"
431,app jelek
432,Good application. Banyak promo yang murah dan menarik.
433,🤎🤎🤎😍😍😍🤍🤍🤍🤍
434,memuaskan
435,"Kopinya enak si, tp masa gini amat bkin promo, udh ngajak temen"" eh poinnya makin lama, makin kecil parah"
436,"Minumannya enak, pelayanannya bagus sekaliii"
437,tempatnya cozyy....
438,"Otp jangan pake firebase SMS. Pake aja WhatsApp otp, bisa pake twilio buat APInya, kasih opsi otp WhatsApp, SMS terlalu jadul. Lambat banget otp SMS itu, suka ga masuk kek gini."
439,disuru amat install
440,biki event gak jelas
441,"Katanya kopi gratis tapi udah di bantu download sama teman malah gak dapat². Jadi kayak pembohongan aja promonya php 😅. Kopi enak sih saya suka, sudah beberapa kali saya minum kopi ini."
442,"5/5 untuk idenya, mempermudah aktivitas order 2/5 untuk kinerja aplikasinya. lemot bgt, apalagi yg share link buat dpt kopi gratis, linknya lama bgt untuk terbukanya, heran deh"
443,Ok
444,"Buka lagi di brp cabang dong min seperti ciracas, pasar rebo, cipayung, mabes hankam, cibubur pokoknya di wilayah jakarta timur dong min 🙏🙏🙏🙏makasih kode promo nya"
445,"Pelayanannya bagus banget brok,, warga Ketintang udah enak banget buat mahasiswa ngopi sama nongkrong 😣😣kopinya juga enak, pelayanan juga oke"
446,Keren
447,"Benerin dulu aja aplikasinya, banyak error!"
448,Manji... Mantap jiwa
449,"Enak banget, nagih deh pokoknyaa"
450,"Kalo mau bikin promo jangan nanggung², masa iya diblg share ketemen dapet kopi gratis, awal share dapet potongan 800 perak makin deket ke gratis dapet potongannya 70 perak, promoin lagi ketemen suruh download berkali2 malah nga dapet2 potongan wkwkwk niat mau kasih promo tipu² Uda bantu share dapet potongannya abal², penasaran coba refrensi lagi ketemen buat terakhir dapet potongan 70 perak wkwkwk niat bener bikin promo abal2 nya ujung2 nya nga dapet promo ini mah"
451,Tetap lezat
452,Good application
453,Terbaik
454,Membantu untuk order jadi ga antri
455,"Pelayanan ramah, harga murah rasa ga murahan"
456,Pelayanan yg baik dan harga yg bersahabat
457,"Gak ada menu liat kode referral, aplikasi gak guna"
458,"Ramah baristanya, enak kopi nya dan worth it bgt sih pokoknya harga dan rasa dan pelayanan nya"
459,kenapa aplikasi tiba2 tidak bisa digunakan
460,Lokasi Pas...depan UNIKOM bandung.sangat setrategis..dan pelayananya sangat baik..
461,Mamtullll
462,"Setelah berkali2 order sejak awal Tomoro buka baru kali ini Sial. Order pick up di Benton Junction Tangerang tapi malah nyasar ke Pondok Jati Sidoarjo, pas cek maps dr app titik nya berdekatan berarti app nya yg salah titik, parahnya ga ada opsi cansel untuk customer dan ga ada pembatasan jarak, masa iya dari Tangerang ke Sidoarjo app terima bisa order ga otomatis nolak krn jarak jauh.pas dtg ke Benton ternyata ga cm sy yg kena byk customer lain, sdh di report ke tomoro pusat tpi ga ada respon."
463,Lama bener woii
464,Madodeppps promonya..madodep pelayanannya...rasanya Jossss...semoga rame ya di bandung timur
465,Tempat nya nyaman. Menu fariativ dan harganya cocok dikantong. Rasanya enak.
466,Enak bgtt kopi pake aplikasi bisa dapet murahhh lagiiiii
467,Mantap
468,Very Nice Service ^^
469,"Pelayanan lambat dan baristanya keteteran 2 kali membeli dg aplikasi selalu dibelakangin, sampai saya nanya sudah belum atas nama kiki, malahan yg bayar langsung tanpa aplikasi promo dapat minumanya duluan entahlah.. Promonya ilangin aja .ga minat untuk beli lagi (Tomorow transpak Bekasi)"
470,Mantap dech pokoknya mah
471,tempatnya nyamannnn 100/100 sii kalian wajib kesiniii xixi
472,"Tomoro yg di jatiwaringin pelayanannya emeejing. Cafenya bersih, dan cinnamon roll tomoro the best. Honestly aku selalu balik ksini karena cinnamon roll nya yg ngangenin💛"
473,sa ya kmrn dah cb aren lathenya mantap.
474,Ramah pegawainya
475,Mencoba dulu
476,Bagus. UI aplikasinya responsif + rasa arennya jos 👍
477,"Pelayananya bagus bangettt, tempatnya juga nyaman, bersihh"
478,Kode referral: 61101K Dapet minum gratis
479,The best bgt banyak promo rasanya jg enak bgt
480,Mantaap
481,"Untuk store yg di cinere kayanya kurang orang ya soalnya klo kesono seringnya yg kerja sendiri ampe numpuk orderan jadinya lama ,,, tolong donk di tambah kek orangnya biar klo beli gak nunggu lama sya."
482,Good
483,Enak bangettt
484,Langganan
485,Nuansa coffee nya sangat nyama dan taste aren latte nya sangat smooth
486,"Pas banget suka minum kopi dan kadang susah kalau mau beli l, untung ada aplikasi ini jadi bisa ngopi tiap hari deh😋"
487,"Tomoro coffee tampat nya bagus nyaman, Instagramable dan juga pegawai nya ramah"
488,Barista baik hati dan tidak sombong
489,Baristanya ganteng banget
490,"Aplikasinya the best daftar pertama dapat semua minuman harga 9k doang, keren banget, udah jadi langganan tomorrow coffee"
491,Ok
492,Ok
493,"Bagus bgt, banyak diskonnyaa!! Tempatnya cozy lg"
494,"Baru coba caffe mocha dan shakiso caffe latte lumayan enak, sayang gelasnya kecil utk uk reguler klo dibandingkan dengan kedai kopi lainnya"
495,Oke.
496,"App nya ngebantu bgt untuk pesan coffe disini juga enak2 ,dapet voucher menarik pula,semoga ke depannya bisa dapet banyak voucher lagi yaa hehe"
497,👍👍👍👍👍
498,Wau kopinya enak sekali dan pelayanannya enak
499,Gak enak
500,"Tomoro coffe kota wisata pelayanannya luar biasa , sangat rekomendasi bgt"
501,Tempatnya bagus cocok untuk nongkrong atau ngerjain tugas dan makanannya murah dan enak.
502,Lelet
503,mantulll jiwaaa
504,"Kopi terbaik nihh, jangaan sampe ga pernah nyobain 😁"
505,Coffee nya enak.
506,Sippppppp...
507,Everything is good
508,"Mungkin diupdate lagi terus di kasih ""catatan"" Kdg pengen americano on the rock soalnyaa hehehe. Sama kalau bisa pembayaran nya ditambah VA bank juga biar makin gampang"
509,Aplikasi nya baguss 👍👍
510,"Aplikasi yang kreatif dan efiensi cara memesan, tolong sering dibanyakin promo-promonya😊"
511,Mantap
512,kopi nya enak & harga nya terjangkau
513,PARAH LAMA BANGET PENGRIMANNYA DAH 1 1/2 JAM TIDAK SAMPAI UDAH GT GA ADA YANG HUBUNGI SAYA SEBAGAI CUSTOMER...PELAYANAN BURUK SEKALI DAN SALAH TITIK PENGIRIMAN DARI GRAB JD DIKEMBALIKAN OLEH GRAB GA PROFESIONAL GA TAU KOPI SAYA KMN
514,Terima Kasih Untuk Pelayanannya
515,"Kopi nya enak banget, cup nya juga oke dan tebel . Kopi andalan ketika ngantuk dijam kerja sih ini mantap"
516,mantap jiwaa
517,"Tempat nya nyaman, pegawai nya ramah², rasa coffe tomoro coconut latte sama Chocolat nya jg nagih. Bakal kesana lagi buat coba yg lain. 🔥❣️"
518,Aplikasi nya keren. Banyak promonya. Kopinya enak
519,Pengalaman yang menyenangkan dan pelayanan ramah.. Thx
520,tomoro rekomen pokonya
521,Taste good
522,Enak nih rekomendasi 👍👍
523,"Keren, cozy dan ramah"
524,"Cozzy, nice price"
525,Pilihan gulanya adakan yang NO SUGAR donk utk yang tidak konsumsi atau tidak boleh konsumsi gula
526,Aplikasi coffee terbaik
527,"App ga muncul tulisan, ga bisa di klik juga"
528,Verifikasi nomornya terlalu lama 1 jam
529,"Aplikasi bagus, pelayanan kurang dan gelas/cup cepat bocor (terlalu tipis)"
530,Perlu ditambahkan categori utk ug less ice...
531,Promo & nikmat kopinya
532,Wah di tomoro caffe graha pena enak enak asik asik
533,tambahin dong vouchernya 2 kek biar bisa nyobain kopi sekaligus pastri nya :(
534,"Very good UX, dan banyak benefit ordernyaa."
535,Sudah 3x order selalu salah titik pengiriman..
536,Pastikan saya dpt promo lg @nur kholis
537,Kopinya enak mantab ada tempat nongkrong nya
538,Minuman dan makanan mantap. Tempat adem nyaman
539,New taste and I like it🤩😍👍☕
540,"Kasih tau baristanya di rawalumbu, gausah centil sama suami orang"
541,"Aplikasinya jadi ga repot nunggu,di aplikasi sedang proses kopi sudah jadi manataapp pokoknya tomoro coffee 👍"
542,Ok
543,"Enak, bagus 🙏"
544,Untuk pelayanan online jelek sedangkan yg offline di dahulu kan jika anda prioritas offline tidak usah buka online nya cabang bip kurang baik untuk onlinenya
545,"Kopinya enakk, murah krn lagi ada promo, trus tempatnya enak buat skripsian, makanannya cukup enak, all well"
546,"Pesen lewat aplikasi di ambil sendiri tapi ko lama bgttt pesenan ga jadi2. Pas di samperin trnyata pesenan gua udah jadi dari tadi malah sibuk am member customer . Lain kali selesaikan dulu pesenan yg online baru sibuk am yg yg lain pinteeeeer .Ampe cair pesen matcha frappe Ampe whipped cream gua meleleh ga keliatan whipped cream cair ama es batu. Coconut latte juga ga manis gara2 cair es batu. Tomoro merpati depan perumahan harvest, udah g lagi"" pesen di sini bikin emosi aja 35 kayak es blender"
547,"Baru buka di Citraland Celebes, Kualitas Kopi Arennya mantap dan kelas, bakal jadi t4 nongki andalan neh di tomoro coffee. Secara Lokasi rumah deket dari outletnya.terima kasih tetap jaga cita rasanya yah."
548,Mohon fasilitas tomorow Coffee cabang cifest di perhatikan . Di toilet tidak ada tempat sampah. Toilet jadi berantakan . Pembalut dan tisu dimana mana . Kalau yang lainnya sudah oke . Terimakasih
549,SANGAT MEMUASKAN
550,"Tempat nya nyaman, makanan nya enak, kopinya jg enaaak... 😍"
551,"Kopinya enakkk 😍 syuka syekaliii, udh 3 hari berturut² jajan tomoro terus krn seenak itu...syuummm 🤤 Apalagi udah ada aplikasinya, sangat terbantu klo order online 🤎 terlove lah tomoro"
552,"aplikasi nya mantep jadi ga repot nunggu, diaplikas sedang proses kopi sudah jadi mantap"
553,"temenku banyak yang pake referal tapi kok vouchernya cuma masuk 1x ya, dan kebacanya cuma 1"
554,"Pengalaman pertama. Kopinya pas, discount ok, dan t4 nyaman"
555,Enak bgt dan harga terjangkau .. buat santai sambil nge desian paling enak ngopi di tomoro coffee 😁
556,ringan dan mudah digunakan
557,"Mantap rasa coffee nya..varian rasanya pun banyak, harga juga masih terjangkau.."
558,good
559,Best application i've ever had. Very simple to use! Thank you tomoro coffee!
560,buruk pelayanan
561,"Tolol pelayanan nya , saya bawa keluarga kesana tidak dilayani dengan baik dan antrian ngak jelas , kita sudah disana ngak dilayanin"
562,Mantepp
563,"Aplikasinya nya bagus, sangat membantu, bisa pickup juga, untuk pembayaran nya mudah banyak pilihan ewalet dan banyak promo nya.. sukaakkk pokoknya.."
564,Mohon untuk menambahkan opsi pembayaran lainnya seperti QRIS. Terima kasih 🙏🏻
565,Kasih diskon lagi min.
566,Kode Bonus = 24806M
567,Aplikasi masih lemot mah jangan di running dulu
568,Recommended utk nongkrong dan asik dah pokoknya
569,Terbaik Ga ada obat Tomoro Banyak discount worth abis di semua kalangan
570,Kopi nya mantap berasa
571,Lumayan mahal shayy
572,"Thanks ya tomoro coffee kopinya nikmat banget, pelayanan juga baik-baik banget"
573,Mantap kopinya dan pelayanannya OKE
574,"Kopinya enak, harga bersahabat, top pokoknya.."
575,Diskon 9.000 ga bisa dipakai. Delivery sibuk terus. Jadi ga guna aplikasinya.
576,Enak
577,"recommended, the best semuanya."
578,"Soorrry banget, udh berapa orang pake refferal gue tapi gue gapernah dapet promonya. Padahak orang orang udh order juga, tapi statusnya masih registered doang wkwkwk keciwi"
579,Bagua
580,"Klo pesennya online payah, yg pertama udah mesen, udah pembayar pake ovo, udh ada bukti saldo kepotong, smpe outlet pesenannya nggak ada katanya, jelas2 udah ada buktinya, dan udh dibiarin gtu aja, yg kedua mesen lagi malah nggak dikasih gula sama sekali, kapok beli disini lagi"
581,"TOMORO COFFEE FIX ENAK, nikmati promo pakai REFFERAL -->>>> 53960H"
582,"Aplikasi ini gak bermanfaat Gaada pilihan untuk ""less ice"" atau ""less sugar"" Males gw mau minum matcha latte bukan es batu doang dibanyakin"
583,Kopinya mantap kali. Thank baristanya Carlito
584,"Kopinya enak, sensasi rasanya pas utk segala mood kalian. Pelayanan ramah Carlito"
585,"Thanks udah respon kopi tomoro, kemarin dana udah balik yg gagal payment. Hopefully cabangnya makin banyak, di bekasi baru tau ada di revo town. Makin banyak promo dan varian nya ya, best luck!!"
586,"Aplikasi ini ga terlalu bermanfaat karna tomoro kurirnya sendiri sibuk terus dan ga bs delivery dengan kurir tomoro, harus pick up sendiri atau order via gofood/grabfood. Belum lg rasa kopi di tiap store beda2 tergantung barista... Beberapa store rosting kopinya terlalu lama jadinya sangit dan pait banget. Entah apa biji kopinya yg diganti ya... tapi beda banget rasanya dengan dulu yg saya beli di depok."
587,"Tolong di perbaiki jangan mentang"" udah mau tutup masa saya pesan coffe aren late ga ada rasnya hambar banget, tomoro city plaza"
588,Tolong dikasih kolom notes
589,Kopi nya mantap...... Pelayanan nya ramah Tempat nya nyaman
590,"Mantap, kopinya enak👍👍"
591,Kopinya enak banget
592,Kopi nya mantuuuul👍
593,"Harus banget di coba sii , gabisa di ungkapkan dengan kata💓"
594,"Apk nya sangat membantu, kopi nya enak, variasinya banyak.. good👍👍"
595,"enak bet kopi nya,,"
596,kopinya enak banget 👍👍👍
597,Overall rasanya diatas ekspetasi enak
598,Ini baru cocok buat pecinra coffe
599,Kopinya nagih☕️😉
600,Kopinya enak banget
601,"Baguss & user friendly..promonya jg masih banyaakk..tapi plissss kasih kolom catatan dong untuk custom pesanan, mau pesen kopi ga pake gula jd hrs manual ngomong ke barista...."
602,Kerennn banget kafeee nyaaa nyaman ruangannya rasa coffee nya banyak variannn
603,Aku blm coba bisa dianter gk ya ke rmh
604,Referal code: LKQV1K
605,Yakin taste minumannya enak2 walaupun blom nyoba. Lantaran tomo deliv nya sibuk trus. Klo pilihanya pickup sendiri pasti bnyak yg ga bisa. Coba di kasih opsi lagi untuk delivery nya
606,mantaap lagi byk promo trs diskon jg :D
607,Enak banget kopinya
608,"Staff nya baik banget, helpful, banyak promonya jugaaa, thankyou"
609,Pokoknya enak pake banget.. harga bersahabat juga.. pilihan banyak dan semua varian cocok di aku... Anak2 paling suka pink pop lemoned yg segar.. dan aku rekomendasikan coconut latte yg creamy menurut aku..
610,Rasanya enak kopinya brasa bnget
611,"Kopi nya enak , makanan nya juga enak ,baru pertama kali nyobain langsung jatuh cinta sama kopi nya hehe, kapan2 kita cobain lagi menu yg lain nya"
612,masuk aja susah..suruh cek jaringan mulu pdhl sinyal kenceng
613,tolong balikan menu ice latte
614,"Lokasi tidak akurat, sehingga sering salah lokasi outlet pesanan, saya di menara jamsostek pesanan ke artagraha, sehingga tidak bisa diambil,"
615,Mantabbb..... Pelayanan good
616,Tolong di tegur pegawai namanya NIko shift pagi cab pwrcetakan negara jam 8 pagi sudah 2 xminum.dilayani dia salah trus saya minta cofee panas dia kasi es seprtinya dia ada banyak masalah tdk konsen dalam bekerja mhn ingatin makasih
617,mantul rasa kopinya
618,Ribet
619,Coffeenya enak
620,"Jangan berharap dapet tempat duduk klo dine in, soalnya yg dudukin stafnya sendiri"
621,Kenapa voucher pengguna barunya ga bisa dipake ? Mana udah kepotong 2x shopee pay saya.
622,"Katanya bisa pesan lewat online,pas saya pesan orderan dibatalkan,gak recommended buat download aplikasi nya soalnya gak bisa order online mesti langsung ke gerai dulu baru bisa sama aja saya mesti ngantri juga buat beli nya niat hati gak mau ngantri ini di suruh ngantri juga"
623,"Belum ada pemilihan tingkat kemanisan, padahal kalau beli langsung di outlet bisa pilih tingkatannya."
624,Rasanya unik
625,Good
626,Enak nih kayanya....
627,"Bagus, dan sangat direkomendasikan"
628,Nice coffe and Croissant.
629,"Rasanya unik, harganya menarik, pelayananan mantap"
630,"Belum beli, Tapi langsung kasih bintang 5."
631,Outlet tidak ada di kotaku.
632,"Jujur gue baru coba ini coffee di citra 7, cocok banget di lidah dan aman di lambung gue, tempatnya bersih AC nya juga dingin"
633,Enak kopi nya.. pelayanan ny juga bagus.
634,"Menu nya variatif ya, rasanya kopi nya ga yang pasaran,, untuk me time sama suami dan temen tempatnya oke banget"
635,"Enak coffe latte - nya,...nanti coba yang lainnya"
636,Kopinya uenakk harga bersahabat
637,"Kopinya enak murah meriah, semoga adminnya lebih aktif buat memperkenalkan store²nya dan lebih kreatif yaa🥳❤️❤️"
638,A good place for hangout
639,"Tempatnya nyaman, kebetulan dekt dengan kantor. Pembayaran g ribet, auto kelar..."
640,"Lots varian drink, cozy place Enak buat nongkrong"
641,coffe nya enak
642,"Perdana mau nyobain beli kopi di tomoro coffe Bintaro tanpa voucher Dateng jam 21.54 ternyata sudah closing di jam 21.45 padahal cuma beda beberapa menit tapi ga di layanani dengan alasan sudah closing, mungkin sudah SOP nya begitu kali jadi udah males buat mampir ke lokasi tersebut"
643,"Aplikasi sudah cukup bagus, hanya saja perlu Optimalisasi pada saat Load data Lokasi agar tidak berat. Mungkin karena sistemnya ""hit"" terus-menerus setiap ada yang buka jadi berat."
644,Tomoro coffee Yasmin .. pelayanannya Good (ramah dan cepat).. Terima kasih Tomoro Coffee Yasmin sukses selalu ya kak.. 🙏👍👍👍✨️GBU
645,Miaw
646,Aplikasi sangat membantu
647,Kopinya enak dan harganya terjangkau
648,"Cab Sunter kacau, Kasir n Barista jadi 1, Terima Orderan terus hebat, ngelobby hebat, tapi sayangnya Bikin Kopinya 30mnt. Bossnya jg bukannya bantuin dulu bentar malah Ngobrol aje. Estimasinya 3-8mnt Estimasi Barista 15mnt Jadinya 30mnt, Orang kalau jadi kasih ke customer Dulu. Jangan Terima Orderan terus. Selesaikan Orderan yg diterima sebelumnya. Jangan Lagi Bikin distop terima Orderan. Minuman Saya Esnya sampe mau Hilang baru dikasih. Kl kg ditanyain kg bakal dikasih kayanya."
649,Mantab
650,Roti dan minumannya enakkkkk bangetttt... love bgt deh sama tomoro coffee.. succses slalu yaaah 😘😘😘😘
651,Selalu deh balik2 lagi ketomoro coffee jd langganan trs dehhh ...harganya yg murah pelayanannya ramah bgt lagi
652,Lumayan nyaman sm tmpt hargany ramah di kantong apa lg sy mahasiswa bnyk promo ny jg
653,Nyegerin minumanya
654,Bagus pelayanannya
655,Bener2 pelayanan yg bagus..pernah order salah outlet..tp msh bisa saya ambil di hari berikutnya..good service
656,Nice skill for the barista. Goodjob for selection staf.
657,Muantappp bener ni apk
658,Mantap
659,Nice coffee
660,Mantap kopinya.. Yuk gess ngopi.. Layanan ramah bangt geees
661,"Memudahkan untuk beli gk perlu nunggu, Kopinya enak"
662,Kopi nya enak mantul2
663,Mantap
664,Banyak diskon nya
