,content
75,Nice choice nice choice
76,"sudah satu jam pesen tapi tetep in progress terus, emang selama itu ya bikin 3 cup coffee ? padahal buat sodara tapi keburu sodaranya udah pulang, payah lah"
77,Enak banget kalo lagi mode galau tinggal bli
78,Alhamdulillah... Kopi enak murah.. Lokasi nyaman... Gaskeun
79,seger
80,Saya udah coba pesan di aplikasi ini dan sudah bayar juga tapi gak ada proses di aplikasi nya padahal saldonya sudah terpotong dan sudah dua kali aneh banget trus cara kembalikan uang nya gimana
81,please jgn hilangin menu ice shaken nya khususnya rasa vanilla deh. seenak ituu pokoknya 🥰🤤
82,"Baru seumur2 beli coffee latte di sini untuk diminum di rumah, dikasih kopi latte pahit. Be thes emang deh tomoro coffee"
83,"Sumpah aplikasi jelek banget jujur saya kecewa, masa orderan ga disesuaikan sama lokasi domisili, bodoh!!! Bukan masalah pesanan saya hilang tapi ga ada solusi masa saya di citayam center tapi aplikasi milihin otomatis ke citayam raya, terus saya suruh kesana gitu, udah lama antrinya karena yg jaga cuma 1, sumpah kecewa banget pake aplikasi ini"
84,tidak bisa delivery
85,"So far oke, tapi staff nya minim attitude"
86,tolong tambahin metode pembayaran online dengan qris / mobile banking.
87,kopinya b aja pelayanan baristanya juga jelek
88,"Permainan spin penipuan, selalu di kasih zonk, masa main 34x bayar pakai poin tetap aja zonk sampai poinnya habis TT. Sering dapat Thanks !!! Sungguh mengecewakan!"
89,Semoga setelah install bisa dapet banyak promo karena coffee nya super enak
90,rasa nya nagih. pelayanannya oke banget🥰
91,nice app
92,"i have bad experience, alamat buat order ga sesuai, bikin susah pelanggan, ga ada bantuan dari cs, aplikasinya belum siap 👎"
93,Tidak ada fitur chat untuk komplain
94,Apknya bagus sih tpi next update tambahin dark mode dong developer
95,"dua kali order dicancel trs, mana gak lgsg kerefund lg"
96,"Salah pesan pengen dingin tapi kepilih Hot. Minta untuk diubah ke dingin tetep gak bisa, harus pesen baru. Padahal posisinya pesanan belum dibuatkan. Ribet"
97,Mau pake promo gagal terus. Padahal udah sesuai syarat dan ketentuan. Mohon di bantu dan di perbaiki lagi
98,Ribet
99,Ngisi survey buat dapatin diskon 50% tapi udah tiga kali ngisi gaada tuh diskonnya. Iklan doang kali ya.
100,Pegawainya citra raya jutek n arogan rasa ga enak bgt bgt.
101,"Promo palsu, saya tidak bisa claim promo yg 9.000. Saya beli di tomoro karawang"
102,"makanan belum sampai, statusnya sudah di terima kocak aplikasinya"
103,Good
104,"Untuk pengisian voucher, kenapa selalu gagal pasti ada tulisan 'terlalu banyak kesalahan coba lagi besok' begitu tiap hari.. Mohon penjelasannya Untuk fitur lainnya oke.."
105,"saat mau delivery, agak lemot gak bisa save alamat"
106,Please beri opsi untuk less sugar dan less ice karena ini penting bgt dan biar lebih praktis
107,"Saran ya kak, aplikasi nya di buat kan request sugar nya ada pilihan berapa % soal nya less sweet nya Mash ke manisan"
108,"Tomoro tki 2 tmbh lama tmbh parah fasilitasnya..uda ga ada sedotan & papper bag buat yg take way..order 3 pc suruh bawa begitu aja,mnta kantong kresek aja ga ada Parahhh....."
109,"Anda nolak rejeki, aneh delivery gak..bisa ..."
110,"Saya akan ksaih bintang 5, kalau dengan menggunakan pickup bisa bayar dengan cash"
111,Aplikasinya berfungsi dengan baik
112,Sudah 3minggu aplikasi tidak bisa digunakan untuk pemesanan delivery
113,"Best sih! paling seneng tomoro aren latte, sedikit saran aja semoga disediakan fitur pembayaran tunai.. dan jg kalo pesen dibungkus pake cup sealer? biar gk tumpah tumpah pas dibawa dijalan. just saran aja"
114,Vocher 9rb saya ilang padahal belum dipake
115,"Vocer 9 rb pengguna baru ngga bisa di gunakan, percuma"
116,"Oke lah banyak promo Tapi kadang buat di applangsung ga bisa request less ice/ sugarnya. Lalu kadang ada add topping yg di pesan ga di tambahin (terutama paas add whippcream udah harganya 10k sendiri ga di add di protes malah bilangnya udah di bland Ama Coffee nya me belike😒 gw ga sebodo itu ya....) + Kalau ga niat kasih tissue ga usah pakai tissue masak minta 1 aja aku di tegur tissue limited ga boleh ambil banyak"""
117,Mantap
118,Mantap
119,"Aplikasi selalu tidak bisa di gunakan untuk memesan selalu busy dan close order, di suruh datang ke store, di store di suruh pesan lewat aplikasi supaya cepat, padahal status di aplikasi tidak bisa di gunakan.."
120,"Tidak semua toko bisa dukung pembayaran QRIS, tapi harus juga bisa ditambah pembayaran kartu, atau bayar tunai di kasir dgn menunjukkan kode pesanan."
121,Aplikasi ga guna. Ga niat ngasih promo. Mo dapet promo aj ribet.
122,"Sebaiknya ada catatan tambahan sebelum pemesanan, agar bisa request less sugar atau less ice"
123,"Tomoro coffe rumbai, jl Sembilang 👍🏻"
124,Gak tau kenapa gak bisa bayar lewat pembayaran e-money :( padahal lumayan juga promonya. Tolong diperbaiki lagi yaaa payment-nyaa
125,"Aplikasi Tolol, cancel order sendiri uang gw g balik.. semoga bangkrut lu gw doain amin"
126,"Download karena ada banyak promo dan masih bisa bayar pake qris, krn ewallet kadang ribet buat ngisi dlu, eh skrg udh gabisa pake qris trus promonya mulai sedikit :( padahal suka menu2nya variatif dan enakkk"
127,Baru coba pengirimannya. Sudah memasukkan alamat yang benar tapi titiknya jauh dari lokasi aslinya. Ngebuat driver kesulitan.
128,PENGEN NGOPI TAPI DUIT PAS²an TomoroCoffe Solusinya
129,Mantap
130,"Apk nya sangat membantu buat yg mau ngopo tapi butuh diskonan 🤭😆 tetap bisa nongki ngopi tapi minim budget. Tapi mau saran aja sih, untuk besok"" nya bisalah voucher nya juga untuk ukuran large sesekali🥹biar dapat juga ukuran besar walaupun minim budget"
131,"Saya pengguna baru. Dpt 2 voucher promo serba 15k dgn tanggal expire 15 Juli 2024, tp pas saya mau redeem di tanggal 10 voucher nya malah expire."
132,Enak kopi nya
133,minuman nya enak banyakin promo yaa
134,Murah nyaaa
135,"Parah !. Order 5x ga bisa, dibatalin sepihak dari aplikasinya. Ga tau eror atau gimana. Tolong diperbaiki ya. Terima kasih."
136,APLIKASINYA BAPUK... KOPINYA GAK SEENAK KOPI DI TEMPAT PESAINGNYA DENGAN HARGA YANG HAMPIR SAMA 😏
137,"Aplikasi ga jelas, amatiran. Pelanggan tetap malah di blokir. Dan point' sudah 500 lebih hilang begitu aja."
138,"Maaf ka, sekedar saran saja, sebaiknya di setiap pemesanan itu bisa request misalnya less ice atau less sugar, terima kasih"
139,niceee
140,Berkelasss
141,"Min tanggepin emailku dong, mengenai pengembalian dana"
142,"packagingnya tolong diperhatikan lagi kak, saran aja dipress plastik dulu biar ga goyah2 tumpah2 , kasihan driver ojol bawa nya nya riskan banget karna keamanannya kurang"
143,Promo nya banyak
144,"Aplikasi minum kopi yang kekinian, mudah digunakan dan stabil. Banyak promo juga."
145,"untuk promo yang sangat sedikit serta tidak bisa upgrade ukuran yang promo, tpi di promo tidak di jelaskan syarat dan ketentuan. lalu untuk pemesanan di aplikasi tidak di catumkan note atau keterangan, saya mau mesan untuk request less sugar dan less ice tidak bisa, jadi kesusahan. bintang 1 dlu semoga di perbaiki. terimakasih"
146,Applikasi jelek banget...... HATI-HATI SUDAH BAYAR UANG UDAH KEPOTONG. TAPI TRANSAKSI KEBATAL DAN UANG BELUM KEMBALI. DI TANYA KE CREW MEREKA JAWABNYA GA TAU. PADAHAL UDAH JELAS ADA BUKTINY👎👎👎👎👎👎
147,👍
148,Untuk Add Addres nya tolong di kasih map soal nya saya cari alamat saya tidak ada
149,jangan pesan delivery pakai aplikasi ini. Kopi anda tidak akan pernah sampai rumah. Uang anda akan menghilang
150,Alhamdulillah
151,Lucky spin july nya bercanda ya om🤣
152,🫶🏻
153,PELAYANAN GA RAMAH
154,Banyak promonya dan kopinya enak
155,"Saya pesan 1 pcs, tapi pesanan di aplikasi muncul 2 pcs. Tidak dapat dicancel pula."
156,Barista
157,Enak byak bonus diskon
158,"Promo g bisa dipake, aneh"
159,"so far okeyy sii nothing happen,tapi sekarangg kalo take away beli 1 doang gadapet peperbag 💁‍♂️💁‍♂️💁‍♂️"
160,Varian kopinya enak² 👍🏻
161,"Ok kali bah, harus di coba lagi nie"
162,Mantap
163,"bagus bgt apk nya untuk order dari rumah, banyakkk promo menarik"
164,"Download buat dapatin promo aja, gw sering ganti2 no hp buat internet, bonus pengguna baru di tomoro 😅"
165,"Pesan lewat aplikasi, giliran di ambil pesanan. Nunggu 1 jam"
166,Hallo tomoro cofee Aplikasi saya kok dapat pesan not allowed yaa? Itu kenapa ya?
