content,tokenized_text,stemmed_text,filtered_text,tokenized_stemmed_text
aplikasinya bagus sekali  selain bisa mempermudah untuk pesanan kita juga dapat banyak benefit dari aplikasinya banyak voucher promo nya buat kalian pemburu promo,"['aplikasinya', 'bagus', 'sekali', 'selain', 'bisa', 'mempermudah', 'untuk', 'pesanan', 'kita', 'juga', 'dapat', 'banyak', 'benefit', 'dari', 'aplikasinya', 'banyak', 'voucher', 'promo', 'nya', 'buat', 'kalian', 'pemburu', 'promo']",aplikasi bagus sekali selain bisa mudah untuk pesan kita juga dapat banyak benefit dari aplikasi banyak voucher promo nya buat kalian buru promo,aplikasi bagus sekali mudah pesan banyak benefit aplikasi banyak voucher promo kalian buru promo,"['aplikasi', 'bagus', 'sekali', 'mudah', 'pesan', 'banyak', 'benefit', 'aplikasi', 'banyak', 'voucher', 'promo', 'kalian', 'buru', 'promo']"
aplikasi pizza hut ini bikin lebih gampang dan cepat sangat memudahkan untuk beli pizza dan banyak sekali promo yang menarik,"['aplikasi', 'pizza', 'hut', 'ini', 'bikin', 'lebih', 'gampang', 'dan', 'cepat', 'sangat', 'memudahkan', 'untuk', 'beli', 'pizza', 'dan', 'banyak', 'sekali', 'promo', 'yang', 'menarik']",aplikasi pizza hut ini bikin lebih gampang dan cepat sangat mudah untuk beli pizza dan banyak sekali promo yang tarik,aplikasi pizza hut bikin lebih gampang cepat sangat mudah beli pizza banyak sekali promo tarik,"['aplikasi', 'pizza', 'hut', 'bikin', 'lebih', 'gampang', 'cepat', 'sangat', 'mudah', 'beli', 'pizza', 'banyak', 'sekali', 'promo', 'tarik']"
aplikasi nya sangat bermanfaat buat orang yang males keluar rumah saat kondisi lapar,"['aplikasi', 'nya', 'sangat', 'bermanfaat', 'buat', 'orang', 'yang', 'males', 'keluar', 'rumah', 'saat', 'kondisi', 'lapar']",aplikasi nya sangat manfaat buat orang yang males keluar rumah saat kondisi lapar,aplikasi sangat manfaat orang males keluar rumah kondisi lapar,"['aplikasi', 'sangat', 'manfaat', 'orang', 'males', 'keluar', 'rumah', 'kondisi', 'lapar']"
pizza hut selalu dihati mudah digunakan dan lewat aplikasi pizza hut bisa tahu menu terbaru dan promo yang lain,"['pizza', 'hut', 'selalu', 'dihati', 'mudah', 'digunakan', 'dan', 'lewat', 'aplikasi', 'pizza', 'hut', 'bisa', 'tahu', 'menu', 'terbaru', 'dan', 'promo', 'yang', 'lain']",pizza hut selalu hati mudah guna dan lewat aplikasi pizza hut bisa tahu menu baru dan promo yang lain,pizza hut selalu hati mudah lewat aplikasi pizza hut tahu menu baru promo,"['pizza', 'hut', 'selalu', 'hati', 'mudah', 'lewat', 'aplikasi', 'pizza', 'hut', 'tahu', 'menu', 'baru', 'promo']"
pizzanya bikin kangeninmakyoss,"['pizzanya', 'bikin', 'kangeninmakyoss']",pizzanya bikin kangeninmakyoss,pizzanya bikin kangeninmakyoss,"['pizzanya', 'bikin', 'kangeninmakyoss']"
selama pakai  aplikasi ini saya  pesan pizza jadi lebih mudah dan gaperlu nunggu lama karena bisa di sesuaikan waktu pemesanannya dan banyak point nya juga kalau  pakai  aplikasi the best lah pokoknya ,"['selama', 'pakai', 'aplikasi', 'ini', 'saya', 'pesan', 'pizza', 'jadi', 'lebih', 'mudah', 'dan', 'gaperlu', 'nunggu', 'lama', 'karena', 'bisa', 'di', 'sesuaikan', 'waktu', 'pemesanannya', 'dan', 'banyak', 'point', 'nya', 'juga', 'kalau', 'pakai', 'aplikasi', 'the', 'best', 'lah', 'pokoknya']",lama pakai aplikasi ini saya pesan pizza jadi lebih mudah dan gaperlu nunggu lama karena bisa di sesuai waktu mesan dan banyak point nya juga kalau pakai aplikasi the best lah pokok,lama pakai aplikasi pesan pizza lebih mudah gaperlu nunggu lama sesuai waktu mesan banyak point pakai aplikasi the best lah pokok,"['lama', 'pakai', 'aplikasi', 'pesan', 'pizza', 'lebih', 'mudah', 'gaperlu', 'nunggu', 'lama', 'sesuai', 'waktu', 'mesan', 'banyak', 'point', 'pakai', 'aplikasi', 'the', 'best', 'lah', 'pokok']"
pelayanan yang sangat ramah,"['pelayanan', 'yang', 'sangat', 'ramah']",layan yang sangat ramah,layan sangat ramah,"['layan', 'sangat', 'ramah']"
aplikasi mudah di gunakanbisa pilih jam untuk pengambilan nya jugapizza hut selalu di hati,"['aplikasi', 'mudah', 'di', 'gunakanbisa', 'pilih', 'jam', 'untuk', 'pengambilan', 'nya', 'jugapizza', 'hut', 'selalu', 'di', 'hati']",aplikasi mudah di gunakanbisa pilih jam untuk ambil nya jugapizza hut selalu di hati,aplikasi mudah gunakanbisa pilih jam ambil jugapizza hut selalu hati,"['aplikasi', 'mudah', 'gunakanbisa', 'pilih', 'jam', 'ambil', 'jugapizza', 'hut', 'selalu', 'hati']"
semakin mudahdan tidak pakai  antri,"['semakin', 'mudahdan', 'tidak', 'pakai', 'antri']",makin mudahdan tidak pakai antri,makin mudahdan pakai antri,"['makin', 'mudahdan', 'pakai', 'antri']"
pizza hut terbaik mantap,"['pizza', 'hut', 'terbaik', 'mantap']",pizza hut baik mantap,pizza hut baik mantap,"['pizza', 'hut', 'baik', 'mantap']"
nais plaiseee,"['nais', 'plaiseee']",nais plaiseee,nais plaiseee,"['nais', 'plaiseee']"
sangat membantu dan mempermudah pemesanan aplikasi berjalan dengan baik,"['sangat', 'membantu', 'dan', 'mempermudah', 'pemesanan', 'aplikasi', 'berjalan', 'dengan', 'baik']",sangat bantu dan mudah mesan aplikasi jalan dengan baik,sangat bantu mudah mesan aplikasi jalan baik,"['sangat', 'bantu', 'mudah', 'mesan', 'aplikasi', 'jalan', 'baik']"
aplikasi sangat membantu untuk pesan online,"['aplikasi', 'sangat', 'membantu', 'untuk', 'pesan', 'online']",aplikasi sangat bantu untuk pesan online,aplikasi sangat bantu pesan online,"['aplikasi', 'sangat', 'bantu', 'pesan', 'online']"
pelayanan ramah cepat bersihh,"['pelayanan', 'ramah', 'cepat', 'bersihh']",layan ramah cepat bersihh,layan ramah cepat bersihh,"['layan', 'ramah', 'cepat', 'bersihh']"
nice,['nice'],nice,nice,['nice']
aplikasinya sangat memudahkan untuk kita memesan pizza aplikasi sangat amat bagus,"['aplikasinya', 'sangat', 'memudahkan', 'untuk', 'kita', 'memesan', 'pizza', 'aplikasi', 'sangat', 'amat', 'bagus']",aplikasi sangat mudah untuk kita mes pizza aplikasi sangat amat bagus,aplikasi sangat mudah mes pizza aplikasi sangat bagus,"['aplikasi', 'sangat', 'mudah', 'mes', 'pizza', 'aplikasi', 'sangat', 'bagus']"
sangat mudah digunakan mantab,"['sangat', 'mudah', 'digunakan', 'mantab']",sangat mudah guna mantab,sangat mudah mantab,"['sangat', 'mudah', 'mantab']"
aplikasi kamu orang buruk sekali  semenjak di update malah ribettttttnya setengah mati saya  sampai berkali kali masukin alamat saja  tidak  bisa orang it kamu keterbelakangan,"['aplikasi', 'kamu', 'orang', 'buruk', 'sekali', 'semenjak', 'di', 'update', 'malah', 'ribettttttnya', 'setengah', 'mati', 'saya', 'sampai', 'berkali', 'kali', 'masukin', 'alamat', 'saja', 'tidak', 'bisa', 'orang', 'it', 'kamu', 'keterbelakangan']",aplikasi kamu orang buruk sekali semenjak di update malah ribettttttnya tengah mati saya sampai kali kali masukin alamat saja tidak bisa orang it kamu belakang,aplikasi orang buruk sekali semenjak update malah ribettttttnya tengah mati kali kali masukin alamat orang belakang,"['aplikasi', 'orang', 'buruk', 'sekali', 'semenjak', 'update', 'malah', 'ribettttttnya', 'tengah', 'mati', 'kali', 'kali', 'masukin', 'alamat', 'orang', 'belakang']"
aplikasi paling tidak jelas mau pesanan tapi pusing pilihan menu kaga ada tidak jelas,"['aplikasi', 'paling', 'tidak', 'jelas', 'mau', 'pesanan', 'tapi', 'pusing', 'pilihan', 'menu', 'kaga', 'ada', 'tidak', 'jelas']",aplikasi paling tidak jelas mau pesan tapi pusing pilih menu kaga ada tidak jelas,aplikasi paling jelas mau pesan pusing pilih menu kaga jelas,"['aplikasi', 'paling', 'jelas', 'mau', 'pesan', 'pusing', 'pilih', 'menu', 'kaga', 'jelas']"
deliv hanya untuk alamat terentu tidak bisa di semua  alamat padahal tidak jauh dari tokonya,"['deliv', 'hanya', 'untuk', 'alamat', 'terentu', 'tidak', 'bisa', 'di', 'semua', 'alamat', 'padahal', 'tidak', 'jauh', 'dari', 'tokonya']",deliv hanya untuk alamat terentu tidak bisa di semua alamat padahal tidak jauh dari toko,deliv alamat terentu semua alamat padahal jauh toko,"['deliv', 'alamat', 'terentu', 'semua', 'alamat', 'padahal', 'jauh', 'toko']"
tolong jangkaunya untuk makanan yang bungkus di perluas karena di daerah saya tidak masuk dalam wilayah antar makanan,"['tolong', 'jangkaunya', 'untuk', 'makanan', 'yang', 'bungkus', 'di', 'perluas', 'karena', 'di', 'daerah', 'saya', 'tidak', 'masuk', 'dalam', 'wilayah', 'antar', 'makanan']",tolong jangkau untuk makan yang bungkus di luas karena di daerah saya tidak masuk dalam wilayah antar makan,jangkau makan bungkus luas daerah masuk wilayah antar makan,"['jangkau', 'makan', 'bungkus', 'luas', 'daerah', 'masuk', 'wilayah', 'antar', 'makan']"
karyawannya ramah pelayanan nya cepat,"['karyawannya', 'ramah', 'pelayanan', 'nya', 'cepat']",karyawannya ramah layan nya cepat,karyawannya ramah layan cepat,"['karyawannya', 'ramah', 'layan', 'cepat']"
aplikasi tidak jelas tidak ada live location saya pesan  pizza quarta saya tungguin dari jam malam sampai jam baru sampai sudah begitu  ternyata driver phd nya sudah x kerumah saya namun di aplikasi tidak ada pergerakan semoga bisa lebih baik lagi,"['aplikasi', 'tidak', 'jelas', 'tidak', 'ada', 'live', 'location', 'saya', 'pesan', 'pizza', 'quarta', 'saya', 'tungguin', 'dari', 'jam', 'malam', 'sampai', 'jam', 'baru', 'sampai', 'sudah', 'begitu', 'ternyata', 'driver', 'phd', 'nya', 'sudah', 'x', 'kerumah', 'saya', 'namun', 'di', 'aplikasi', 'tidak', 'ada', 'pergerakan', 'semoga', 'bisa', 'lebih', 'baik', 'lagi']",aplikasi tidak jelas tidak ada live location saya pesan pizza quarta saya tungguin dari jam malam sampai jam baru sampai sudah begitu nyata driver phd nya sudah x rumah saya namun di aplikasi tidak ada gera moga bisa lebih baik lagi,aplikasi jelas live location pesan pizza quarta tungguin jam malam jam baru nyata driver phd x rumah aplikasi gera moga lebih baik,"['aplikasi', 'jelas', 'live', 'location', 'pesan', 'pizza', 'quarta', 'tungguin', 'jam', 'malam', 'jam', 'baru', 'nyata', 'driver', 'phd', 'x', 'rumah', 'aplikasi', 'gera', 'moga', 'lebih', 'baik']"
pesan  dari set malam sampai jam tidak sampai bahkan sampai bsknya juga tidak sampai,"['pesan', 'dari', 'set', 'malam', 'sampai', 'jam', 'tidak', 'sampai', 'bahkan', 'sampai', 'bsknya', 'juga', 'tidak', 'sampai']",pesan dari set malam sampai jam tidak sampai bahkan sampai bsknya juga tidak sampai,pesan set malam jam bahkan bsknya,"['pesan', 'set', 'malam', 'jam', 'bahkan', 'bsknya']"
aplikasi tak bisa lihat track pizza tak ada chat dengan store bahkan pizza saya per hari ini tak dikirim ke lokasi,"['aplikasi', 'tak', 'bisa', 'lihat', 'track', 'pizza', 'tak', 'ada', 'chat', 'dengan', 'store', 'bahkan', 'pizza', 'saya', 'per', 'hari', 'ini', 'tak', 'dikirim', 'ke', 'lokasi']",aplikasi tak bisa lihat track pizza tak ada chat dengan store bahkan pizza saya per hari ini tak kirim ke lokasi,aplikasi tak lihat track pizza tak chat store bahkan pizza per hari tak kirim lokasi,"['aplikasi', 'tak', 'lihat', 'track', 'pizza', 'tak', 'chat', 'store', 'bahkan', 'pizza', 'per', 'hari', 'tak', 'kirim', 'lokasi']"
aplikasi penipuan pesan  tidak di antar makan uang haram,"['aplikasi', 'penipuan', 'pesan', 'tidak', 'di', 'antar', 'makan', 'uang', 'haram']",aplikasi tipu pesan tidak di antar makan uang haram,aplikasi tipu pesan antar makan uang haram,"['aplikasi', 'tipu', 'pesan', 'antar', 'makan', 'uang', 'haram']"
tidak bisa melakukan pemilihan lokasi store untuk pesanan nya sangat buruk sekali aplikasi nya,"['tidak', 'bisa', 'melakukan', 'pemilihan', 'lokasi', 'store', 'untuk', 'pesanan', 'nya', 'sangat', 'buruk', 'sekali', 'aplikasi', 'nya']",tidak bisa laku pilih lokasi store untuk pesan nya sangat buruk sekali aplikasi nya,laku pilih lokasi store pesan sangat buruk sekali aplikasi,"['laku', 'pilih', 'lokasi', 'store', 'pesan', 'sangat', 'buruk', 'sekali', 'aplikasi']"
tidak usah ada aplikasi lagi kalau kita dine in tidak boleh pakai  aplikasi karena  sedang ramai resto nya alasan  klasik yang  bikin konsumen kecewa sama layanan dan bad attitude pelayanan nya saya mau dine in scan lewat aplikasi masa tidak boleh aneh sekali ,"['tidak', 'usah', 'ada', 'aplikasi', 'lagi', 'kalau', 'kita', 'dine', 'in', 'tidak', 'boleh', 'pakai', 'aplikasi', 'karena', 'sedang', 'ramai', 'resto', 'nya', 'alasan', 'klasik', 'yang', 'bikin', 'konsumen', 'kecewa', 'sama', 'layanan', 'dan', 'bad', 'attitude', 'pelayanan', 'nya', 'saya', 'mau', 'dine', 'in', 'scan', 'lewat', 'aplikasi', 'masa', 'tidak', 'boleh', 'aneh', 'sekali']",tidak usah ada aplikasi lagi kalau kita dine in tidak boleh pakai aplikasi karena sedang ramai resto nya alas klasik yang bikin konsumen kecewa sama layan dan bad attitude layan nya saya mau dine in scan lewat aplikasi masa tidak boleh aneh sekali,usah aplikasi dine in pakai aplikasi sedang ramai resto alas klasik bikin konsumen kecewa layan bad attitude layan mau dine in scan lewat aplikasi masa aneh sekali,"['usah', 'aplikasi', 'dine', 'in', 'pakai', 'aplikasi', 'sedang', 'ramai', 'resto', 'alas', 'klasik', 'bikin', 'konsumen', 'kecewa', 'layan', 'bad', 'attitude', 'layan', 'mau', 'dine', 'in', 'scan', 'lewat', 'aplikasi', 'masa', 'aneh', 'sekali']"
delicious,['delicious'],delicious,delicious,['delicious']
aplikasi lemot ribet jadi males,"['aplikasi', 'lemot', 'ribet', 'jadi', 'males']",aplikasi lot ribet jadi males,aplikasi lot ribet males,"['aplikasi', 'lot', 'ribet', 'males']"
aplikasi sering error tidak bisa di gunakan,"['aplikasi', 'sering', 'error', 'tidak', 'bisa', 'di', 'gunakan']",aplikasi sering error tidak bisa di guna,aplikasi sering error,"['aplikasi', 'sering', 'error']"
tidak bisa delivery pizza hut hanya bisa phd saya tidak suka phd,"['tidak', 'bisa', 'delivery', 'pizza', 'hut', 'hanya', 'bisa', 'phd', 'saya', 'tidak', 'suka', 'phd']",tidak bisa delivery pizza hut hanya bisa phd saya tidak suka phd,delivery pizza hut phd suka phd,"['delivery', 'pizza', 'hut', 'phd', 'suka', 'phd']"
sulit digunakan,"['sulit', 'digunakan']",sulit guna,sulit,['sulit']
mau pesan  tidak bisa pilih outlete nya aplikasi terlalu berattolong di perbaiki lahbukan mudah malah jadi males pesennya,"['mau', 'pesan', 'tidak', 'bisa', 'pilih', 'outlete', 'nya', 'aplikasi', 'terlalu', 'berattolong', 'di', 'perbaiki', 'lahbukan', 'mudah', 'malah', 'jadi', 'males', 'pesennya']",mau pesan tidak bisa pilih outlete nya aplikasi terlalu berattolong di baik lahbukan mudah malah jadi males sen,mau pesan pilih outlete aplikasi terlalu berattolong baik lahbukan mudah malah males sen,"['mau', 'pesan', 'pilih', 'outlete', 'aplikasi', 'terlalu', 'berattolong', 'baik', 'lahbukan', 'mudah', 'malah', 'males', 'sen']"
setelah pembaruan tampilannya beda malah tidak bisa scroll mau pesanan,"['setelah', 'pembaruan', 'tampilannya', 'beda', 'malah', 'tidak', 'bisa', 'scroll', 'mau', 'pesanan']",telah baru tampil beda malah tidak bisa scroll mau pesan,baru tampil beda malah scroll mau pesan,"['baru', 'tampil', 'beda', 'malah', 'scroll', 'mau', 'pesan']"
masok wifi bebas,"['masok', 'wifi', 'bebas']",masok wifi bebas,masok wifi bebas,"['masok', 'wifi', 'bebas']"
simpeldan praktis,"['simpeldan', 'praktis']",simpeldan praktis,simpeldan praktis,"['simpeldan', 'praktis']"
oke oke,"['oke', 'oke']",oke oke,oke oke,"['oke', 'oke']"
tidak bisa pesan  pizza jam segini padahal tempat delivery aplikasi yang  tentuin tidak bisa pilih sendiri atau d ganti,"['tidak', 'bisa', 'pesan', 'pizza', 'jam', 'segini', 'padahal', 'tempat', 'delivery', 'aplikasi', 'yang', 'tentuin', 'tidak', 'bisa', 'pilih', 'sendiri', 'atau', 'd', 'ganti']",tidak bisa pesan pizza jam gin padahal tempat delivery aplikasi yang tentuin tidak bisa pilih sendiri atau d ganti,pesan pizza jam gin padahal tempat delivery aplikasi tentuin pilih sendiri d ganti,"['pesan', 'pizza', 'jam', 'gin', 'padahal', 'tempat', 'delivery', 'aplikasi', 'tentuin', 'pilih', 'sendiri', 'd', 'ganti']"
bagusssss,['bagusssss'],bagusssss,bagusssss,['bagusssss']
aplikasi jelek sudah tulisan tidak rapih tidak  bisa login maupun daftar akun otp whatsapp ngaco pokoknya jelek deh,"['aplikasi', 'jelek', 'sudah', 'tulisan', 'tidak', 'rapih', 'tidak', 'bisa', 'login', 'maupun', 'daftar', 'akun', 'otp', 'whatsapp', 'ngaco', 'pokoknya', 'jelek', 'deh']",aplikasi jelek sudah tulis tidak rapih tidak bisa login maupun daftar akun otp whatsapp ngaco pokok jelek deh,aplikasi jelek tulis rapih login maupun daftar akun otp whatsapp ngaco pokok jelek,"['aplikasi', 'jelek', 'tulis', 'rapih', 'login', 'maupun', 'daftar', 'akun', 'otp', 'whatsapp', 'ngaco', 'pokok', 'jelek']"
pizza pringsewu terbaik,"['pizza', 'pringsewu', 'terbaik']",pizza pringsewu baik,pizza pringsewu baik,"['pizza', 'pringsewu', 'baik']"
burik banyak bug nya ,"['burik', 'banyak', 'bug', 'nya']",burik banyak bug nya,burik banyak bug,"['burik', 'banyak', 'bug']"
application for served foods and drinks pesanan in mobile phone internet global,"['application', 'for', 'served', 'foods', 'and', 'drinks', 'pesanan', 'in', 'mobile', 'phone', 'internet', 'global']",application for served foods and drinks pesan in mobile phone internet global,application for served foods and drinks pesan in mobile phone internet global,"['application', 'for', 'served', 'foods', 'and', 'drinks', 'pesan', 'in', 'mobile', 'phone', 'internet', 'global']"
need some improvement i tried pesanan menu this time thru apps and system was error so we have pesanan via offline,"['need', 'some', 'improvement', 'i', 'tried', 'pesanan', 'menu', 'this', 'time', 'thru', 'apps', 'and', 'system', 'was', 'error', 'so', 'we', 'have', 'pesanan', 'via', 'offline']",need some improvement i tried pesan menu this time thru apps and system was error so we have pesan via offline,need some improvement i tried pesan menu this time thru apps and system was error so we have pesan via offline,"['need', 'some', 'improvement', 'i', 'tried', 'pesan', 'menu', 'this', 'time', 'thru', 'apps', 'and', 'system', 'was', 'error', 'so', 'we', 'have', 'pesan', 'via', 'offline']"
ini kenapa outlet sama delivery timenya kaga bisa di klik ya terus ini cara pesannya gimana kalau  tidak bisa diklik kocak sekali  ini aplikasi pizza,"['ini', 'kenapa', 'outlet', 'sama', 'delivery', 'timenya', 'kaga', 'bisa', 'di', 'klik', 'ya', 'terus', 'ini', 'cara', 'pesannya', 'gimana', 'kalau', 'tidak', 'bisa', 'diklik', 'kocak', 'sekali', 'ini', 'aplikasi', 'pizza']",ini kenapa outlet sama delivery timenya kaga bisa di klik ya terus ini cara pesan gimana kalau tidak bisa klik kocak sekali ini aplikasi pizza,outlet delivery timenya kaga klik terus cara pesan gimana klik kocak sekali aplikasi pizza,"['outlet', 'delivery', 'timenya', 'kaga', 'klik', 'terus', 'cara', 'pesan', 'gimana', 'klik', 'kocak', 'sekali', 'aplikasi', 'pizza']"
susah pakai aplikasi baru tidak bisa pakai tombol back dari hp penentuan lokasi pengiriman dan pemilihan outlet pizza susah dan lemot,"['susah', 'pakai', 'aplikasi', 'baru', 'tidak', 'bisa', 'pakai', 'tombol', 'back', 'dari', 'hp', 'penentuan', 'lokasi', 'pengiriman', 'dan', 'pemilihan', 'outlet', 'pizza', 'susah', 'dan', 'lemot']",susah pakai aplikasi baru tidak bisa pakai tombol back dari hp tentu lokasi kirim dan pilih outlet pizza susah dan lot,susah pakai aplikasi baru pakai tombol back hp lokasi kirim pilih outlet pizza susah lot,"['susah', 'pakai', 'aplikasi', 'baru', 'pakai', 'tombol', 'back', 'hp', 'lokasi', 'kirim', 'pilih', 'outlet', 'pizza', 'susah', 'lot']"
kok tidak bis a d instal pizza hut nya,"['kok', 'tidak', 'bis', 'a', 'd', 'instal', 'pizza', 'hut', 'nya']",kok tidak bis a d instal pizza hut nya,kok bis a d instal pizza hut,"['kok', 'bis', 'a', 'd', 'instal', 'pizza', 'hut']"
aplikasinya ngebug tidak bisa login google mohon perbaiki,"['aplikasinya', 'ngebug', 'tidak', 'bisa', 'login', 'google', 'mohon', 'perbaiki']",aplikasi ngebug tidak bisa login google mohon baik,aplikasi ngebug login google mohon baik,"['aplikasi', 'ngebug', 'login', 'google', 'mohon', 'baik']"
susah klik tombol outlet ksllll,"['susah', 'klik', 'tombol', 'outlet', 'ksllll']",susah klik tombol outlet ksllll,susah klik tombol outlet ksllll,"['susah', 'klik', 'tombol', 'outlet', 'ksllll']"
aplikasinya kurang smooth,"['aplikasinya', 'kurang', 'smooth']",aplikasi kurang smooth,aplikasi kurang smooth,"['aplikasi', 'kurang', 'smooth']"
terakhir dine ini sudah payment padahal sekarang mau pesan delivery tidak bisa karena yang  dine in sebelumnya statusnya belum payment tolong diperbaiki lagi aplikasinya,"['terakhir', 'dine', 'ini', 'sudah', 'payment', 'padahal', 'sekarang', 'mau', 'pesan', 'delivery', 'tidak', 'bisa', 'karena', 'yang', 'dine', 'in', 'sebelumnya', 'statusnya', 'belum', 'payment', 'tolong', 'diperbaiki', 'lagi', 'aplikasinya']",akhir dine ini sudah payment padahal sekarang mau pesan delivery tidak bisa karena yang dine in belum status belum payment tolong baik lagi aplikasi,akhir dine payment padahal sekarang mau pesan delivery dine in status payment baik aplikasi,"['akhir', 'dine', 'payment', 'padahal', 'sekarang', 'mau', 'pesan', 'delivery', 'dine', 'in', 'status', 'payment', 'baik', 'aplikasi']"
sangat baguss,"['sangat', 'baguss']",sangat baguss,sangat baguss,"['sangat', 'baguss']"
senang tiap pesan online dapat poin banyak,"['senang', 'tiap', 'pesan', 'online', 'dapat', 'poin', 'banyak']",senang tiap pesan online dapat poin banyak,senang tiap pesan online poin banyak,"['senang', 'tiap', 'pesan', 'online', 'poin', 'banyak']"
kecewa pelayanya lama sekali  jam loh saya nunggu,"['kecewa', 'pelayanya', 'lama', 'sekali', 'jam', 'loh', 'saya', 'nunggu']",kecewa pelayanya lama sekali jam loh saya nunggu,kecewa pelayanya lama sekali jam loh nunggu,"['kecewa', 'pelayanya', 'lama', 'sekali', 'jam', 'loh', 'nunggu']"
ribet sangat  log in pakai  email ngirim otp ke wasms sedang nomor  sudah ganti log in pakai  nomor  baru minte email sedang emailnya sudah di pakai  mending dominos saja  tidak ribet apknya,"['ribet', 'sangat', 'log', 'in', 'pakai', 'email', 'ngirim', 'otp', 'ke', 'wasms', 'sedang', 'nomor', 'sudah', 'ganti', 'log', 'in', 'pakai', 'nomor', 'baru', 'minte', 'email', 'sedang', 'emailnya', 'sudah', 'di', 'pakai', 'mending', 'dominos', 'saja', 'tidak', 'ribet', 'apknya']",ribet sangat log in pakai email ngirim otp ke wasms sedang nomor sudah ganti log in pakai nomor baru minte email sedang email sudah di pakai mending dominos saja tidak ribet apknya,ribet sangat log in pakai email ngirim otp wasms sedang nomor ganti log in pakai nomor baru minte email sedang email pakai mending dominos ribet apknya,"['ribet', 'sangat', 'log', 'in', 'pakai', 'email', 'ngirim', 'otp', 'wasms', 'sedang', 'nomor', 'ganti', 'log', 'in', 'pakai', 'nomor', 'baru', 'minte', 'email', 'sedang', 'email', 'pakai', 'mending', 'dominos', 'ribet', 'apknya']"
susah mau log in saja  muter,"['susah', 'mau', 'log', 'in', 'saja', 'muter']",susah mau log in saja muter,susah mau log in muter,"['susah', 'mau', 'log', 'in', 'muter']"
kren,['kren'],kren,kren,['kren']
bintang dulu kalau  dikirim sesuatu bintang hahahhahahahah bercanda  min bagus loh jadi lebih praktis buat kaum malas bergerak,"['bintang', 'dulu', 'kalau', 'dikirim', 'sesuatu', 'bintang', 'hahahhahahahah', 'bercanda', 'min', 'bagus', 'loh', 'jadi', 'lebih', 'praktis', 'buat', 'kaum', 'malas', 'bergerak']",bintang dulu kalau kirim sesuatu bintang hahahhahahahah canda min bagus loh jadi lebih praktis buat kaum malas gerak,bintang dulu kirim bintang hahahhahahahah canda min bagus loh lebih praktis kaum malas gerak,"['bintang', 'dulu', 'kirim', 'bintang', 'hahahhahahahah', 'canda', 'min', 'bagus', 'loh', 'lebih', 'praktis', 'kaum', 'malas', 'gerak']"
pizza hut selalu di hati selalu membersamai perkembangan saya dan keluarga pelayanan nya best kwalitas makanan nya tolong kembalikan seperti zaman dulu  harga di sesuaikan pasti nya semoga pizza hut lebih baik dan selalu lebih baik lagi ke depan nya thank kamu,"['pizza', 'hut', 'selalu', 'di', 'hati', 'selalu', 'membersamai', 'perkembangan', 'saya', 'dan', 'keluarga', 'pelayanan', 'nya', 'best', 'kwalitas', 'makanan', 'nya', 'tolong', 'kembalikan', 'seperti', 'zaman', 'dulu', 'harga', 'di', 'sesuaikan', 'pasti', 'nya', 'semoga', 'pizza', 'hut', 'lebih', 'baik', 'dan', 'selalu', 'lebih', 'baik', 'lagi', 'ke', 'depan', 'nya', 'thank', 'kamu']",pizza hut selalu di hati selalu sama kembang saya dan keluarga layan nya best kwalitas makan nya tolong kembali seperti zaman dulu harga di sesuai pasti nya moga pizza hut lebih baik dan selalu lebih baik lagi ke depan nya thank kamu,pizza hut selalu hati selalu kembang keluarga layan best kwalitas makan zaman dulu harga sesuai moga pizza hut lebih baik selalu lebih baik depan thank,"['pizza', 'hut', 'selalu', 'hati', 'selalu', 'kembang', 'keluarga', 'layan', 'best', 'kwalitas', 'makan', 'zaman', 'dulu', 'harga', 'sesuai', 'moga', 'pizza', 'hut', 'lebih', 'baik', 'selalu', 'lebih', 'baik', 'depan', 'thank']"
baru install aplikasi pertama kali terus mau masukin alamat tapi tidak bisa di klik bagaimana  mau delivery kalau  seperti ini pantes ratingnya jelek,"['baru', 'install', 'aplikasi', 'pertama', 'kali', 'terus', 'mau', 'masukin', 'alamat', 'tapi', 'tidak', 'bisa', 'di', 'klik', 'bagaimana', 'mau', 'delivery', 'kalau', 'seperti', 'ini', 'pantes', 'ratingnya', 'jelek']",baru install aplikasi pertama kali terus mau masukin alamat tapi tidak bisa di klik bagaimana mau delivery kalau seperti ini pantes ratingnya jelek,baru install aplikasi pertama kali terus mau masukin alamat klik bagaimana mau delivery pantes ratingnya jelek,"['baru', 'install', 'aplikasi', 'pertama', 'kali', 'terus', 'mau', 'masukin', 'alamat', 'klik', 'bagaimana', 'mau', 'delivery', 'pantes', 'ratingnya', 'jelek']"
makanan yang saya suka sangat nikmat,"['makanan', 'yang', 'saya', 'suka', 'sangat', 'nikmat']",makan yang saya suka sangat nikmat,makan suka sangat nikmat,"['makan', 'suka', 'sangat', 'nikmat']"
terima kasih,"['terima', 'kasih']",terima kasih,terima kasih,"['terima', 'kasih']"
